;Plateforme;Proposition de feu signalétique;Localisation;"
Données recueillies et 
Politique de confidentialité 
";Conditions d'utilisation;Remarques ou alternatives;"Changement 
de statut";Statut M365;;;
;ADOBE ACROBAT;O;USA- Californie - Akamai Technologies Inc;;"Adobe stocke des données aux USA.

Le contenu enregistré en local n'est ni analysé ni consulté par Adobe et ne sert pas à entraîner l'IA. Ce n'est pas le cas pour ce qui est hébergé en ligne.

N'utilise pas le contenu des utilisateurs pour commercialiser ou promouvoir ses services.";"Stockage en local uniquement. 

Pour l'hébergement des données dans le cloud, Adobe exige que les utilisateurs ne diffusent aucune donnée personnelle. ";;Accès pour personnel scolaire;;;
;ATLASSIAN (JIRA, CONFLUENCE, TRELLO);O ;;"Si vous utilisez une version serveur ou centre de données des Services: ne collecte aucune information vous concernant (y compris votre contenu), sauf dans des cas limités lorsque cela est autorisé par votre administrateur

Collecte les liens sur lesquels vous cliquez ; le type, la taille et les noms de fichiers des pièces jointes que vous téléchargez sur les Services; les termes de recherche; votre progression dans l'histoire de team’s Jira Align; et la façon dont vous interagissez avec les autres sur les Services.  Recueille des informations sur les équipes et les personnes avec lesquelles vous travaillez et comment vous travaillez avec elles, comme avec qui vous collaborez et communiquez le plus souvent";"Certains contenus peuvent être rendus publics, ce qui signifie que tout ce qui est publié dans l'espace en question, y compris les informations vous concernant, peut être consulté publiquement, indexé et renvoyé dans les résultats de recherche des moteurs de recherche. Les données peuvent être utilisées à des fins marketing.  

Peut conserver des données personnelles après une demande d'effacement.";"Usage enseignant uniquement.

Ne pas inscrire de données personnelles.";;Accès pour personnel scolaire;;;
;AZENDOO (app);R;;;;Impossible de trouver une page officielle, l’application a certainement été supprimée ou a changé de nom. Dans tous les cas, son usage est similaire à celui de Teams. ;;Bloqué;;;
;BABBEL;R;USA - Californie - Amazon.com Inc;"nom, adresse e-mail, informations sur l'appareil, données de paiement

comportement d’apprentissage, vocabulaire personnel et progrès d’apprentissage. Inclut les enregistrements vocaux, le cas échéant";"Collecte les données utilisées avec l'IA pour entraîner cette dernière.

Partage certaines données avec des services de marketing et de publicité (ne précise pas lesquelles).";;;n'existe pas;;;
;BDnF (Application);V;France;;Ne collecte pas de données personnelles, ne vend pas de données;Attention à ne pas importer d'images ou de textes contenant des données personnelles;;n'existe pas;;;
;BLINKLEARNING;O;USA - Californie - Amazon.com Inc;"Nom, e-mail, âge

Pas de données transférées à des tiers.

BLINKLEARNING S.L. garantit que lors de l'utilisation de l'API Microsoft, aucune donnée utilisateur Microsoft n'est stockée, partagée ou collectée, à l'exception du jeton d'authentification OAuth, de l'ID utilisateur Microsoft et de l'e-mail associé, ainsi que de l'ID des dossiers OneDrive de l'enseignant. Les données ne sont présentées à l'utilisateur que par le biais de la synchronisation avec Microsoft et ne sont jamais stockées sur nos serveurs, à l'exception des données énumérées ci-dessus.";"Consentement nécessaires des tuteurs légaux pour traiter les données personnelles des enfants en-dessous de 14 ans. Dans ce cas, une carte d'identité ou une autre forme d'identification de la personne qui donne son consentement sera exigée.

Dans le cas des personnes âgées de plus de quatorze ans, les données peuvent être traitées avec le consentement de l'utilisateur.";;;n'existe pas;;;
;BLUEMAIL;O;USA - Californie - Amazon.com Inc;"A l'inscription : adresse e-mail

Optionnel : nom ou pseudo, photo et numéro de téléphone portable.

Récolte le modèle de votre appareil et son système d'exploitation, ainsi que des informations sur les bogues et les pannes

Envoie de la publicité si l'utilisateur a donné son consentement.";"Ne stocke pas les messages électroniques ou les événements de calendrier sur leurs serveurs. 

Si vous utilisez la fonction facultative GemAI (Generative Email), le courriel concerné sera temporairement traité par les serveurs et ensuite transféré à un fournisseur de services d'IA générative pour qu'il y réponde. 

Utilisation en-dessous de 13 ans strictement interdite. Accord parental requis en-dessous de 18 ans.";"Ne pas utiliser les fonctions d'intelligence artificielle.

Usage réservé aux enseignants.";;Accès pour personnel scolaire;;;
;BOOK CREATOR;O;"USA – Texas -

Cloudflare London, LLC ";"Nom complet, adresse e-mail, préférences linguistiques et photo de profil, l’école d’où vous venez 

 Type d’appareil que vous utilisez, votre système d’exploitation, votre adresse IP, l’URL (Uniform Resource Locator), le parcours de navigation et la durée de la visite. ";"Peut collecter les données personnelles suivantes vous concernant lorsque vous créez et téléchargez du contenu de livre (données de livre) : 

Toutes les données personnelles que vous téléchargez en tant que contenu de livre, ce qui peut inclure : 
un texte qui comprend des informations vous concernant ; 
une vidéo ou une photo qui vous montre ; et/ou 
des fichiers audio qui contiennent des informations vous concernant. ";"Ne pas déposer de données personnelles d’élèves dans les livres. 

Pas d’enregistrement de voix d’élèves. 

Utiliser l'application exclusivement car les données sont stockées en local.";;Accès pour personnel scolaire;;;
;BOOKILI;O;USA – Californie – Fastly, Inc ;Inscription aux services : le nom, l’adresse postale et électronique, le sexe et genre, l’école et la classe des élèves ;"Existe en version web ou application. 

L’application rend possible les enregistrements audio. 

 Peu d’informations sur les CGU.";"Anonymiser les comptes élèves en utilisant des pseudos. 

Ne pas enregistrer la voix des élèves. 

Pour les évaluer la lecture à voix haute, on peut utiliser l’outil “Progression de la lecture” qui se trouve dans les “Accélérateurs d’apprentissage” lorsque l’on crée un devoir sur Teams. ";;Accès pour personnel scolaire;;;
;CALENDLY;O;USA – Californie – Cloudflare Inc ;"Nom, adresse e-mail, préférences linguistiques et photo de profil 

Pour planifier une séance : recueille tous les informations contenues dans l’invitation : nom, prénom, adresse e-mail, numéro de téléphone des participants, lieu, sujet de la rencontre ";"RGPD EU

Interdit aux utilisateurs de moins de 18 ans. 

Les données personnelles peuvent être utilisées à des fins de marketing. Peut communiquer vos informations personnelles à des tiers sans vous en informer !

 

";Usage réservé aux enseignants.;"à autoriser pour 
enseignants 
uniquement";;;;
